,0
1712,of
1713,skills
1714,marine
1715,change.
1716,"damages,"
1717,fit
1718,"small,"
1719,my
1720,career
1721,Bren
1722,in
1723,who
1724,a
1725,working
1726,to
1727,to
1728,climate
1729,with
1730,education;
1731,advance
1732,the
1733,scientific
1734,ideas.
1735,in
1736,I
1737,I
1738,undergrad.
1739,the
1740,range
1741,hope
1742,wanted
1743,their
1744,sun.
1745,that
1746,"better,"
1747,spending
1748,I
1749,worked
1750,career
1751,better
1752,in
1753,and
1754,on
1755,water
1756,from
1757,to
1758,professors
1759,forward
1760,looking
1761,Bren
1762,leave
1763,&
1764,looking
1765,to
1766,to
1767,"issues,"
1768,come
1769,"professors,"
1770,develop
1771,down
1772,dive
1773,decided
1774,from
1775,to
1776,an
1777,saw
1778,chose
1779,a
1780,phenomenal.
1781,exploring
1782,make
1783,to
1784,pivot
1785,to
1786,to
1787,solving
1788,mitigate
1789,Bren
1790,because
1791,to
1792,and
1793,I
1794,however
1795,a
1796,work
1797,West
1798,wanted
1799,technical
1800,and
1801,most
1802,to
1803,communities
1804,management
1805,a
1806,to
1807,knew
1808,part
1809,because
1810,I
1811,a
1812,a
1813,how
1814,I’m
1815,forward
1816,to
1817,politics
1818,while
1819,Bren
1820,can.
1821,on
1822,understanding
1823,exciting
1824,of
1825,to
1826,forward
1827,in
1828,+
1829,2
1830,deploy
1831,me
1832,more
1833,I
1834,so
1835,and
1836,make
1837,allow
1838,and
1839,want
1840,to
1841,to
1842,program
1843,"hosted,and"
1844,a
1845,chance
1846,cohort
1847,to
1848,actions.To
1849,to
1850,escalate
1851,came
1852,my
1853,friendly
1854,space
1855,connections
1856,place.
1857,real-world
1858,passion
1859,sector.
1860,looking
1861,saw
1862,intersects
1863,"Offerings,"
1864,science
1865,the
1866,career
1867,and
1868,pollution
1869,through
1870,friendships
1871,that
1872,my
1873,fulfilling
1874,come
1875,and
1876,am
1877,Conservation
1878,have
1879,learning
1880,I
1881,living
1882,skills
1883,sharing
1884,experience
